_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
b3A1qyciWy,2020-06-19T14:22:36.018Z,2676060.0,4.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,parse-cloud,_User$kRNWfl1OoO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-19T14:25:32.500Z,2020-08-01T01:19:49.750Z
9ZcX6zYNys,2020-06-20T13:15:19.816Z,2676060.0,3.0,12.0,0.0,10.0,0.0,1.0,0.0,2.0,parse-cloud,_User$kRNWfl1OoO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-20T13:16:53.666Z,2020-08-01T01:03:27.806Z
CnI0AVdatb,2020-06-20T14:28:51.795Z,2362287.0,58.0,8.0,7.0,2.0,0.0,0.0,0.0,2.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-20T14:32:52.787Z,2020-08-01T01:02:15.142Z
Rd6NQ58eU5,2020-06-21T19:03:40.989Z,2676060.0,2.0,11.0,0.0,9.0,0.0,1.0,1.0,0.0,parse-cloud,_User$kRNWfl1OoO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-21T19:07:27.091Z,2020-08-01T00:45:06.016Z
AWtEThbBJ6,2020-06-21T21:20:55.892Z,2363070.0,25.0,25.0,25.0,25.0,0.0,0.0,7.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-21T21:21:37.694Z,2020-08-01T00:44:13.391Z
4DKGKoNYDF,2020-06-22T01:52:40.230Z,7113692.0,8.0,2.0,4.0,2.0,0.0,2.0,0.0,1.0,parse-cloud,_User$FmQ1yI4y2X,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-22T01:58:44.875Z,2020-08-01T00:43:33.454Z
oFG3W1slMc,2020-06-22T13:14:47.906Z,2362287.0,58.0,7.0,4.0,3.0,0.0,6.0,0.0,4.0,parse-cloud,_User$HxPoAaK6BU,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-22T13:15:35.877Z,2020-08-01T00:33:08.960Z
IEToAyGv85,2020-06-22T21:31:10.030Z,2363070.0,48.0,19.0,48.0,19.0,0.0,0.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-22T21:34:05.655Z,2020-08-01T00:26:47.809Z
GQPfCiEpL2,2020-06-22T21:43:24.326Z,2676060.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,parse-cloud,_User$kRNWfl1OoO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-22T21:45:51.113Z,2020-08-01T00:26:42.665Z
P3wUmiodgd,2020-06-23T19:05:44.376Z,2676060.0,56.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,parse-cloud,_User$xYG80olawY,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-23T19:11:05.264Z,2020-08-01T00:11:33.961Z
